Run on (160 X 4023 MHz CPU s)
2018-07-03 10:50:24
name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message,"advised_convolution_algorithm","advised_determinism","advised_memory","advised_time","convolution_algorithm","filter_height","filter_width","input_batch_size","input_channels","input_height","input_size","input_width","math_type","output_batch_size","output_channels","output_height","output_width","pad_height","pad_width","predicted_advised_flops","predicted_advised_flops_count","predicted_flops","predicted_flops_count","stride_height","stride_width","workspace_bytes","workspace_megabytes"
"LAYER_CUDNN_CONV_FORWARD_HALF<CUDNN_CONVOLUTION_FWD_ALGO_IMPLICIT_GEMM>/W:27/H:27/C:128/N:1/K:128/filter_w(s):3/filter_h(r):3/pad_w:1/pad_h:1/wstride:1/hstride:1/manual_time",2465,284111,290649,ns,,4.20396e+10,,,,0,1,0,0.293344,0,3,3,1,128,27,93312,27,0,1,128,27,27,1,1,7.56713e+11,2.14991e+08,7.56713e+11,2.14991e+08,1,1,0,0
"LAYER_CUDNN_CONV_FORWARD_HALF<CUDNN_CONVOLUTION_FWD_ALGO_IMPLICIT_GEMM>/W:14/H:14/C:128/N:1/K:256/filter_w(s):3/filter_h(r):3/pad_w:1/pad_h:1/wstride:1/hstride:1/manual_time",2483,281863,288348,ns,,2.2786e+10,,,,0,1,0,0.2904,0,3,3,1,128,14,25088,14,0,1,256,14,14,1,1,4.10148e+11,1.15606e+08,4.10148e+11,1.15606e+08,1,1,0,0
"LAYER_CUDNN_CONV_FORWARD_HALF<CUDNN_CONVOLUTION_FWD_ALGO_IMPLICIT_GEMM>/W:7/H:7/C:256/N:1/K:512/filter_w(s):3/filter_h(r):3/pad_w:1/pad_h:1/wstride:1/hstride:1/manual_time",1393,502313,508799,ns,,1.27859e+10,,,,0,1,0,0.511712,0,3,3,1,256,7,12544,7,0,1,512,7,7,1,1,2.30146e+11,1.15606e+08,2.30146e+11,1.15606e+08,1,1,0,0
"LAYER_CUDNN_CONV_FORWARD_HALF<CUDNN_CONVOLUTION_FWD_ALGO_IMPLICIT_GEMM>/W:224/H:224/C:3/N:1/K:64/filter_w(s):3/filter_h(r):3/pad_w:1/pad_h:1/wstride:1/hstride:1/manual_time",6604,105993,112484,ns,,9.08909e+10,,,,1,1,0,0.113824,0,3,3,1,3,224,150528,224,0,1,64,224,224,1,1,1.63604e+12,1.73408e+08,1.63604e+12,1.73408e+08,1,1,0,0
"LAYER_CUDNN_CONV_FORWARD_HALF<CUDNN_CONVOLUTION_FWD_ALGO_IMPLICIT_GEMM>/W:112/H:112/C:64/N:1/K:128/filter_w(s):3/filter_h(r):3/pad_w:1/pad_h:1/wstride:1/hstride:1/manual_time",2850,248014,252782,ns,,4.14333e+11,,,,1,1,0,0.268768,0,3,3,1,64,112,802816,112,0,1,128,112,112,1,1,7.458e+12,1.84969e+09,7.458e+12,1.84969e+09,1,1,0,0
"LAYER_CUDNN_CONV_FORWARD_HALF<CUDNN_CONVOLUTION_FWD_ALGO_IMPLICIT_GEMM>/W:56/H:56/C:128/N:1/K:256/filter_w(s):3/filter_h(r):3/pad_w:1/pad_h:1/wstride:1/hstride:1/manual_time",2547,274880,281411,ns,,3.73837e+11,,,,1,1,0,0.31328,0,3,3,1,128,56,401408,56,0,1,256,56,56,1,1,6.72907e+12,1.84969e+09,6.72907e+12,1.84969e+09,1,1,0,0
"LAYER_CUDNN_CONV_FORWARD_HALF<CUDNN_CONVOLUTION_FWD_ALGO_IMPLICIT_GEMM>/W:28/H:28/C:256/N:1/K:512/filter_w(s):3/filter_h(r):3/pad_w:1/pad_h:1/wstride:1/hstride:1/manual_time",1340,522172,529044,ns,,1.96794e+11,,,,1,1,0,0.548928,0,3,3,1,256,28,200704,28,0,1,512,28,28,1,1,3.5423e+12,1.84969e+09,3.5423e+12,1.84969e+09,1,1,0,0
"LAYER_CUDNN_CONV_FORWARD_HALF<CUDNN_CONVOLUTION_FWD_ALGO_IMPLICIT_GEMM>/W:14/H:14/C:512/N:1/K:512/filter_w(s):3/filter_h(r):3/pad_w:1/pad_h:1/wstride:1/hstride:1/manual_time",636,1.10037e+06,1.10693e+06,ns,,4.66937e+10,,,,0,1,0,1.10938,0,3,3,1,512,14,100352,14,0,1,512,14,14,1,1,8.40486e+11,9.24844e+08,8.40486e+11,9.24844e+08,1,1,0,0
"LAYER_CUDNN_CONV_FORWARD_HALF<CUDNN_CONVOLUTION_FWD_ALGO_IMPLICIT_GEMM>/W:7/H:7/C:512/N:1/K:512/filter_w(s):3/filter_h(r):3/pad_w:1/pad_h:1/wstride:1/hstride:1/manual_time",649,1.07934e+06,1.08591e+06,ns,,1.19009e+10,,,,0,1,0,1.08544,0,3,3,1,512,7,25088,7,0,1,512,7,7,1,1,2.14216e+11,2.31211e+08,2.14216e+11,2.31211e+08,1,1,0,0
"LAYER_CUDNN_CONV_FORWARD_HALF<CUDNN_CONVOLUTION_FWD_ALGO_IMPLICIT_GEMM>/W:224/H:224/C:3/N:2/K:64/filter_w(s):3/filter_h(r):3/pad_w:1/pad_h:1/wstride:1/hstride:1/manual_time",4178,167620,174069,ns,,1.14948e+11,,,,1,1,0,0.180032,0,3,3,2,3,224,301056,224,0,2,64,224,224,1,1,2.06906e+12,3.46817e+08,2.06906e+12,3.46817e+08,1,1,0,0
"LAYER_CUDNN_CONV_FORWARD_HALF<CUDNN_CONVOLUTION_FWD_ALGO_IMPLICIT_GEMM>/W:112/H:112/C:64/N:2/K:128/filter_w(s):3/filter_h(r):3/pad_w:1/pad_h:1/wstride:1/hstride:1/manual_time",1202,571226,577764,ns,,3.59789e+11,,,,1,1,0,0.549856,0,3,3,2,64,112,1.60563e+06,112,0,2,128,112,112,1,1,6.47621e+12,3.69938e+09,6.47621e+12,3.69938e+09,1,1,0,0
"LAYER_CUDNN_CONV_FORWARD_HALF<CUDNN_CONVOLUTION_FWD_ALGO_IMPLICIT_GEMM>/W:56/H:56/C:128/N:2/K:256/filter_w(s):3/filter_h(r):3/pad_w:1/pad_h:1/wstride:1/hstride:1/manual_time",1630,429547,436096,ns,,4.78459e+11,,,,1,1,0,0.438304,0,3,3,2,128,56,802816,56,0,2,256,56,56,1,1,8.61227e+12,3.69938e+09,8.61227e+12,3.69938e+09,1,1,0,0
