Run on (40 X 3600 MHz CPU s)
2018-07-24 13:54:03
name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message,"filter_height","filter_width","input_batch_size","input_channels","input_height","input_size","input_width","num_filters","output_batch_size","output_channels","output_height","output_size","output_width","pad_height","pad_width","stride_height","stride_width"
"LAYER_CUDNN_CONV_BWD_BIAS_HALF/W:28/H:28/C:256/N:1/K:512/filter_w(s):3/filter_h(r):3/pad_w:1/pad_h:1/wstride:1/hstride:1/manual_time",89005,7756.01,13968.9,ns,,1.32491e+13,,,,3,3,1,256,28,200704,28,512,1,512,28,401408,28,1,1,1,1
"LAYER_CUDNN_CONV_BWD_BIAS_HALF/W:14/H:14/C:512/N:1/K:512/filter_w(s):3/filter_h(r):3/pad_w:1/pad_h:1/wstride:1/hstride:1/manual_time",101122,6920.9,13073.7,ns,,7.42392e+12,,,,3,3,1,512,14,100352,14,512,1,512,14,100352,14,1,1,1,1
"LAYER_CUDNN_CONV_BWD_BIAS_HALF/W:7/H:7/C:512/N:1/K:512/filter_w(s):3/filter_h(r):3/pad_w:1/pad_h:1/wstride:1/hstride:1/manual_time",102745,6707.54,12936.3,ns,,1.91502e+12,,,,3,3,1,512,7,25088,7,512,1,512,7,25088,7,1,1,1,1
"LAYER_CUDNN_CONV_BWD_BIAS_HALF/W:224/H:224/C:3/N:2/K:64/filter_w(s):3/filter_h(r):3/pad_w:1/pad_h:1/wstride:1/hstride:1/manual_time",2623,266787,273670,ns,,7.22209e+10,,,,3,3,2,3,224,301056,224,64,2,64,224,6.42253e+06,224,1,1,1,1
"LAYER_CUDNN_CONV_BWD_BIAS_HALF/W:112/H:112/C:64/N:2/K:128/filter_w(s):3/filter_h(r):3/pad_w:1/pad_h:1/wstride:1/hstride:1/manual_time",9990,70067.1,76905,ns,,2.9332e+12,,,,3,3,2,64,112,1.60563e+06,112,128,2,128,112,3.21126e+06,112,1,1,1,1
"LAYER_CUDNN_CONV_BWD_BIAS_HALF/W:56/H:56/C:128/N:2/K:256/filter_w(s):3/filter_h(r):3/pad_w:1/pad_h:1/wstride:1/hstride:1/manual_time",45154,15471.5,22016.2,ns,,1.32838e+13,,,,3,3,2,128,56,802816,56,256,2,256,56,1.60563e+06,56,1,1,1,1
"LAYER_CUDNN_CONV_BWD_BIAS_HALF/W:28/H:28/C:256/N:2/K:512/filter_w(s):3/filter_h(r):3/pad_w:1/pad_h:1/wstride:1/hstride:1/manual_time",76357,9134.47,15560.6,ns,,2.24995e+13,,,,3,3,2,256,28,401408,28,512,2,512,28,802816,28,1,1,1,1
"LAYER_CUDNN_CONV_BWD_BIAS_HALF/W:14/H:14/C:512/N:2/K:512/filter_w(s):3/filter_h(r):3/pad_w:1/pad_h:1/wstride:1/hstride:1/manual_time",98520,7103.92,13124.8,ns,,1.44653e+13,,,,3,3,2,512,14,200704,14,512,2,512,14,200704,14,1,1,1,1
"LAYER_CUDNN_CONV_BWD_BIAS_HALF/W:7/H:7/C:512/N:2/K:512/filter_w(s):3/filter_h(r):3/pad_w:1/pad_h:1/wstride:1/hstride:1/manual_time",103637,6698.06,12761.5,ns,,3.83545e+12,,,,3,3,2,512,7,50176,7,512,2,512,7,50176,7,1,1,1,1
"LAYER_CUDNN_CONV_BWD_BIAS_HALF/W:224/H:224/C:3/N:1/K:64/filter_w(s):7/filter_h(r):7/pad_w:3/pad_h:3/wstride:2/hstride:2/manual_time",30409,23007.2,29122.3,ns,,4.1873e+11,,,,7,7,1,3,224,150528,224,64,1,64,112,802816,112,3,3,2,2
