Run on (40 X 3600 MHz CPU s)
2018-07-24 19:16:43
name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message,"input_batch_size","input_channels","input_height","input_size","input_width","output_batch_size","output_channels","output_height","output_size","output_width","predicted_flops","predicted_flops_count","softmax_algorithm","softmax_mode"
"LAYER_CUDNN_SOFTMAX_BWD_HALF<CUDNN_SOFTMAX_FAST, CUDNN_SOFTMAX_MODE_INSTANCE>/W:7/H:7/C:256/N:1/K:512/filter_w(s):3/filter_h(r):3/pad_w:1/pad_h:1/wstride:1/hstride:1/manual_time",27422,25561.3,7447.53,ns,,9.81484e+08,,,,1,512,7,25088,7,1,512,7,25088,7,9.81484e+08,25088,0,0
"LAYER_CUDNN_SOFTMAX_BWD_HALF<CUDNN_SOFTMAX_FAST, CUDNN_SOFTMAX_MODE_INSTANCE>/W:224/H:224/C:3/N:1/K:64/filter_w(s):3/filter_h(r):3/pad_w:1/pad_h:1/wstride:1/hstride:1/manual_time",122,5.75085e+06,7892.58,ns,,5.58399e+08,,,,1,64,224,3.21126e+06,224,1,64,224,3.21126e+06,224,5.58399e+08,3.21126e+06,0,0
"LAYER_CUDNN_SOFTMAX_BWD_HALF<CUDNN_SOFTMAX_FAST, CUDNN_SOFTMAX_MODE_INSTANCE>/W:112/H:112/C:64/N:1/K:128/filter_w(s):3/filter_h(r):3/pad_w:1/pad_h:1/wstride:1/hstride:1/manual_time",237,2.95471e+06,7755.87,ns,,5.43414e+08,,,,1,128,112,1.60563e+06,112,1,128,112,1.60563e+06,112,5.43414e+08,1.60563e+06,0,0
"LAYER_CUDNN_SOFTMAX_BWD_HALF<CUDNN_SOFTMAX_FAST, CUDNN_SOFTMAX_MODE_INSTANCE>/W:56/H:56/C:128/N:1/K:256/filter_w(s):3/filter_h(r):3/pad_w:1/pad_h:1/wstride:1/hstride:1/manual_time",873,801652,7596.77,ns,,1.00145e+09,,,,1,256,56,802816,56,1,256,56,802816,56,1.00145e+09,802816,0,0
"LAYER_CUDNN_SOFTMAX_BWD_HALF<CUDNN_SOFTMAX_FAST, CUDNN_SOFTMAX_MODE_INSTANCE>/W:28/H:28/C:256/N:1/K:512/filter_w(s):3/filter_h(r):3/pad_w:1/pad_h:1/wstride:1/hstride:1/manual_time",1732,404109,7545.06,ns,,9.93317e+08,,,,1,512,28,401408,28,1,512,28,401408,28,9.93317e+08,401408,0,0
"LAYER_CUDNN_SOFTMAX_BWD_HALF<CUDNN_SOFTMAX_FAST, CUDNN_SOFTMAX_MODE_INSTANCE>/W:14/H:14/C:512/N:1/K:512/filter_w(s):3/filter_h(r):3/pad_w:1/pad_h:1/wstride:1/hstride:1/manual_time",6611,105919,7393.41,ns,,9.47443e+08,,,,1,512,14,100352,14,1,512,14,100352,14,9.47443e+08,100352,0,0
"LAYER_CUDNN_SOFTMAX_BWD_HALF<CUDNN_SOFTMAX_FAST, CUDNN_SOFTMAX_MODE_INSTANCE>/W:7/H:7/C:512/N:1/K:512/filter_w(s):3/filter_h(r):3/pad_w:1/pad_h:1/wstride:1/hstride:1/manual_time",27441,25507,7335.86,ns,,9.83575e+08,,,,1,512,7,25088,7,1,512,7,25088,7,9.83575e+08,25088,0,0
"LAYER_CUDNN_SOFTMAX_BWD_HALF<CUDNN_SOFTMAX_FAST, CUDNN_SOFTMAX_MODE_INSTANCE>/W:224/H:224/C:3/N:2/K:64/filter_w(s):3/filter_h(r):3/pad_w:1/pad_h:1/wstride:1/hstride:1/manual_time",114,6.1516e+06,7907.66,ns,,1.04404e+09,,,,2,64,224,6.42253e+06,224,2,64,224,6.42253e+06,224,1.04404e+09,6.42253e+06,0,0
"LAYER_CUDNN_SOFTMAX_BWD_HALF<CUDNN_SOFTMAX_FAST, CUDNN_SOFTMAX_MODE_INSTANCE>/W:112/H:112/C:64/N:2/K:128/filter_w(s):3/filter_h(r):3/pad_w:1/pad_h:1/wstride:1/hstride:1/manual_time",233,3.00395e+06,7952.31,ns,,1.06901e+09,,,,2,128,112,3.21126e+06,112,2,128,112,3.21126e+06,112,1.06901e+09,3.21126e+06,0,0
"LAYER_CUDNN_SOFTMAX_BWD_HALF<CUDNN_SOFTMAX_FAST, CUDNN_SOFTMAX_MODE_INSTANCE>/W:56/H:56/C:128/N:2/K:256/filter_w(s):3/filter_h(r):3/pad_w:1/pad_h:1/wstride:1/hstride:1/manual_time",447,1.56556e+06,7732.56,ns,,1.02559e+09,,,,2,256,56,1.60563e+06,56,2,256,56,1.60563e+06,56,1.02559e+09,1.60563e+06,0,0
"LAYER_CUDNN_SOFTMAX_BWD_HALF<CUDNN_SOFTMAX_FAST, CUDNN_SOFTMAX_MODE_INSTANCE>/W:28/H:28/C:256/N:2/K:512/filter_w(s):3/filter_h(r):3/pad_w:1/pad_h:1/wstride:1/hstride:1/manual_time",1644,425803,7735.89,ns,,1.88541e+09,,,,2,512,28,802816,28,2,512,28,802816,28,1.88541e+09,802816,0,0
"LAYER_CUDNN_SOFTMAX_BWD_HALF<CUDNN_SOFTMAX_FAST, CUDNN_SOFTMAX_MODE_INSTANCE>/W:14/H:14/C:512/N:2/K:512/filter_w(s):3/filter_h(r):3/pad_w:1/pad_h:1/wstride:1/hstride:1/manual_time",6250,111982,7477.77,ns,,1.79228e+09,,,,2,512,14,200704,14,2,512,14,200704,14,1.79228e+09,200704,0,0
"LAYER_CUDNN_SOFTMAX_BWD_HALF<CUDNN_SOFTMAX_FAST, CUDNN_SOFTMAX_MODE_INSTANCE>/W:7/H:7/C:512/N:2/K:512/filter_w(s):3/filter_h(r):3/pad_w:1/pad_h:1/wstride:1/hstride:1/manual_time",26114,26815.4,7428.74,ns,,1.87117e+09,,,,2,512,7,50176,7,2,512,7,50176,7,1.87117e+09,50176,0,0
"LAYER_CUDNN_SOFTMAX_BWD_HALF<CUDNN_SOFTMAX_FAST, CUDNN_SOFTMAX_MODE_INSTANCE>/W:224/H:224/C:3/N:1/K:64/filter_w(s):7/filter_h(r):7/pad_w:3/pad_h:3/wstride:2/hstride:2/manual_time",873,801753,7759.25,ns,,1.00133e+09,,,,1,64,112,802816,112,1,64,112,802816,112,1.00133e+09,802816,0,0
"LAYER_CUDNN_SOFTMAX_BWD_HALF<CUDNN_SOFTMAX_FAST, CUDNN_SOFTMAX_MODE_INSTANCE>/W:28/H:28/C:192/N:1/K:32/filter_w(s):5/filter_h(r):5/pad_w:2/pad_h:2/wstride:1/hstride:1/manual_time",27432,25515.4,7403.98,ns,,9.8325e+08,,,,1,32,28,25088,28,1,32,28,25088,28,9.8325e+08,25088,0,0
"LAYER_CUDNN_SOFTMAX_BWD_HALF<CUDNN_SOFTMAX_FAST, CUDNN_SOFTMAX_MODE_INSTANCE>/W:28/H:28/C:192/N:1/K:64/filter_w(s):1/filter_h(r):1/pad_w:0/pad_h:0/wstride:1/hstride:1/manual_time",12478,56088.7,7327.27,ns,,8.94583e+08,,,,1,64,28,50176,28,1,64,28,50176,28,8.94583e+08,50176,0,0
"LAYER_CUDNN_SOFTMAX_BWD_HALF<CUDNN_SOFTMAX_FAST, CUDNN_SOFTMAX_MODE_INSTANCE>/W:14/H:14/C:512/N:1/K:48/filter_w(s):5/filter_h(r):5/pad_w:2/pad_h:2/wstride:1/hstride:1/manual_time",62799,11119.4,7284.13,ns,,8.46086e+08,,,,1,48,14,9408,14,1,48,14,9408,14,8.46086e+08,9408,0,0
"LAYER_CUDNN_SOFTMAX_BWD_HALF<CUDNN_SOFTMAX_FAST, CUDNN_SOFTMAX_MODE_INSTANCE>/W:14/H:14/C:512/N:1/K:192/filter_w(s):1/filter_h(r):1/pad_w:0/pad_h:0/wstride:1/hstride:1/manual_time",15782,44363.3,7371.57,ns,,8.4827e+08,,,,1,192,14,37632,14,1,192,14,37632,14,8.4827e+08,37632,0,0
"LAYER_CUDNN_SOFTMAX_BWD_HALF<CUDNN_SOFTMAX_FAST, CUDNN_SOFTMAX_MODE_INSTANCE>/W:7/H:7/C:832/N:1/K:256/filter_w(s):1/filter_h(r):1/pad_w:0/pad_h:0/wstride:1/hstride:1/manual_time",54966,12736.4,7298.45,ns,,9.84895e+08,,,,1,256,7,12544,7,1,256,7,12544,7,9.84895e+08,12544,0,0
"LAYER_CUDNN_SOFTMAX_BWD_HALF<CUDNN_SOFTMAX_FAST, CUDNN_SOFTMAX_MODE_INSTANCE>/W:7/H:7/C:832/N:1/K:128/filter_w(s):5/filter_h(r):5/pad_w:2/pad_h:2/wstride:1/hstride:1/manual_time",72887,9594.37,7287.71,ns,,6.53717e+08,,,,1,128,7,6272,7,1,128,7,6272,7,6.53717e+08,6272,0,0
"LAYER_CUDNN_SOFTMAX_BWD_HALF<CUDNN_SOFTMAX_FAST, CUDNN_SOFTMAX_MODE_INSTANCE>/W:224/H:224/C:3/N:2/K:64/filter_w(s):7/filter_h(r):7/pad_w:3/pad_h:3/wstride:2/hstride:2/manual_time",447,1.56567e+06,7667.98,ns,,1.02552e+09,,,,2,64,112,1.60563e+06,112,2,64,112,1.60563e+06,112,1.02552e+09,1.60563e+06,0,0
"LAYER_CUDNN_SOFTMAX_BWD_HALF<CUDNN_SOFTMAX_FAST, CUDNN_SOFTMAX_MODE_INSTANCE>/W:28/H:28/C:192/N:2/K:32/filter_w(s):5/filter_h(r):5/pad_w:2/pad_h:2/wstride:1/hstride:1/manual_time",26117,26770.7,7304.49,ns,,1.87429e+09,,,,2,32,28,50176,28,2,32,28,50176,28,1.87429e+09,50176,0,0
"LAYER_CUDNN_SOFTMAX_BWD_HALF<CUDNN_SOFTMAX_FAST, CUDNN_SOFTMAX_MODE_INSTANCE>/W:28/H:28/C:192/N:2/K:64/filter_w(s):1/filter_h(r):1/pad_w:0/pad_h:0/wstride:1/hstride:1/manual_time",11690,59881.4,7406.28,ns,,1.67585e+09,,,,2,64,28,100352,28,2,64,28,100352,28,1.67585e+09,100352,0,0
"LAYER_CUDNN_SOFTMAX_BWD_HALF<CUDNN_SOFTMAX_FAST, CUDNN_SOFTMAX_MODE_INSTANCE>/W:14/H:14/C:512/N:2/K:48/filter_w(s):5/filter_h(r):5/pad_w:2/pad_h:2/wstride:1/hstride:1/manual_time",60903,11459.5,7347.84,ns,,1.64195e+09,,,,2,48,14,18816,14,2,48,14,18816,14,1.64195e+09,18816,0,0
"LAYER_CUDNN_SOFTMAX_BWD_HALF<CUDNN_SOFTMAX_FAST, CUDNN_SOFTMAX_MODE_INSTANCE>/W:14/H:14/C:512/N:2/K:192/filter_w(s):1/filter_h(r):1/pad_w:0/pad_h:0/wstride:1/hstride:1/manual_time",15156,46183,7389.29,ns,,1.62969e+09,,,,2,192,14,75264,14,2,192,14,75264,14,1.62969e+09,75264,0,0
"LAYER_CUDNN_SOFTMAX_BWD_HALF<CUDNN_SOFTMAX_FAST, CUDNN_SOFTMAX_MODE_INSTANCE>/W:7/H:7/C:832/N:2/K:256/filter_w(s):1/filter_h(r):1/pad_w:0/pad_h:0/wstride:1/hstride:1/manual_time",53612,13034.7,7341.76,ns,,1.92471e+09,,,,2,256,7,25088,7,2,256,7,25088,7,1.92471e+09,25088,0,0
"LAYER_CUDNN_SOFTMAX_BWD_HALF<CUDNN_SOFTMAX_FAST, CUDNN_SOFTMAX_MODE_INSTANCE>/W:7/H:7/C:832/N:2/K:128/filter_w(s):5/filter_h(r):5/pad_w:2/pad_h:2/wstride:1/hstride:1/manual_time",70780,9912.32,7384.99,ns,,1.2655e+09,,,,2,128,7,12544,7,2,128,7,12544,7,1.2655e+09,12544,0,0
"LAYER_CUDNN_SOFTMAX_BWD_HALF<CUDNN_SOFTMAX_FAST, CUDNN_SOFTMAX_MODE_INSTANCE>/W:56/H:56/C:64/N:1/K:64/filter_w(s):3/filter_h(r):3/pad_w:1/pad_h:1/wstride:1/hstride:1/manual_time",3408,205372,7414.89,ns,,9.77271e+08,,,,1,64,56,200704,56,1,64,56,200704,56,9.77271e+08,200704,0,0
"LAYER_CUDNN_SOFTMAX_BWD_HALF<CUDNN_SOFTMAX_FAST, CUDNN_SOFTMAX_MODE_INSTANCE>/W:56/H:56/C:64/N:1/K:256/filter_w(s):1/filter_h(r):1/pad_w:0/pad_h:0/wstride:2/hstride:2/manual_time",3409,205374,7509.9,ns,,9.77261e+08,,,,1,256,28,200704,28,1,256,28,200704,28,9.77261e+08,200704,0,0
"LAYER_CUDNN_SOFTMAX_BWD_HALF<CUDNN_SOFTMAX_FAST, CUDNN_SOFTMAX_MODE_INSTANCE>/W:28/H:28/C:128/N:1/K:128/filter_w(s):3/filter_h(r):3/pad_w:1/pad_h:1/wstride:1/hstride:1/manual_time",6606,105904,7344.92,ns,,9.47579e+08,,,,1,128,28,100352,28,1,128,28,100352,28,9.47579e+08,100352,0,0
"LAYER_CUDNN_SOFTMAX_BWD_HALF<CUDNN_SOFTMAX_FAST, CUDNN_SOFTMAX_MODE_INSTANCE>/W:28/H:28/C:128/N:1/K:512/filter_w(s):1/filter_h(r):1/pad_w:0/pad_h:0/wstride:2/hstride:2/manual_time",6608,105910,7459.11,ns,,9.47518e+08,,,,1,512,14,100352,14,1,512,14,100352,14,9.47518e+08,100352,0,0
