Run on (160 X 4023 MHz CPU s)
2018-08-08 15:33:31
name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message,"filter_height","filter_width","input_batch_size","input_channels","input_height","input_size","input_width","num_filters","output_batch_size","output_channels","output_height","output_size","output_width","pad_height","pad_width","stride_height","stride_width"
"LAYER_CUDNN_CONV_BWD_BIAS_HALF/W:112/H:112/C:64/N:1/K:128/filter_w(s):3/filter_h(r):3/pad_w:1/pad_h:1/wstride:1/hstride:1/manual_time",24606,28458.4,35272.1,ns,,3.6109e+12,,,,3,3,1,64,112,802816,112,128,1,128,112,1.60563e+06,112,1,1,1,1
"LAYER_CUDNN_CONV_BWD_BIAS_HALF/W:56/H:56/C:128/N:1/K:256/filter_w(s):3/filter_h(r):3/pad_w:1/pad_h:1/wstride:1/hstride:1/manual_time",48299,14499.8,21462.6,ns,,7.08703e+12,,,,3,3,1,128,56,401408,56,256,1,256,56,802816,56,1,1,1,1
"LAYER_CUDNN_CONV_BWD_BIAS_HALF/W:28/H:28/C:256/N:1/K:512/filter_w(s):3/filter_h(r):3/pad_w:1/pad_h:1/wstride:1/hstride:1/manual_time",56969,12290.9,19170,ns,,8.36069e+12,,,,3,3,1,256,28,200704,28,512,1,512,28,401408,28,1,1,1,1
"LAYER_CUDNN_CONV_BWD_BIAS_HALF/W:14/H:14/C:512/N:1/K:512/filter_w(s):3/filter_h(r):3/pad_w:1/pad_h:1/wstride:1/hstride:1/manual_time",62227,11252,18070,ns,,4.56631e+12,,,,3,3,1,512,14,100352,14,512,1,512,14,100352,14,1,1,1,1
"LAYER_CUDNN_CONV_BWD_BIAS_HALF/W:7/H:7/C:512/N:1/K:512/filter_w(s):3/filter_h(r):3/pad_w:1/pad_h:1/wstride:1/hstride:1/manual_time",64504,10868,17744.1,ns,,1.18192e+12,,,,3,3,1,512,7,25088,7,512,1,512,7,25088,7,1,1,1,1
"LAYER_CUDNN_CONV_BWD_BIAS_HALF/W:224/H:224/C:3/N:2/K:64/filter_w(s):3/filter_h(r):3/pad_w:1/pad_h:1/wstride:1/hstride:1/manual_time",2227,314296,321191,ns,,6.1304e+10,,,,3,3,2,3,224,301056,224,64,2,64,224,6.42253e+06,224,1,1,1,1
"LAYER_CUDNN_CONV_BWD_BIAS_HALF/W:112/H:112/C:64/N:2/K:128/filter_w(s):3/filter_h(r):3/pad_w:1/pad_h:1/wstride:1/hstride:1/manual_time",7905,88524,95409.3,ns,,2.32164e+12,,,,3,3,2,64,112,1.60563e+06,112,128,2,128,112,3.21126e+06,112,1,1,1,1
"LAYER_CUDNN_CONV_BWD_BIAS_HALF/W:56/H:56/C:128/N:2/K:256/filter_w(s):3/filter_h(r):3/pad_w:1/pad_h:1/wstride:1/hstride:1/manual_time",35717,19621.7,26540.6,ns,,1.04742e+13,,,,3,3,2,128,56,802816,56,256,2,256,56,1.60563e+06,56,1,1,1,1
"LAYER_CUDNN_CONV_BWD_BIAS_HALF/W:28/H:28/C:256/N:2/K:512/filter_w(s):3/filter_h(r):3/pad_w:1/pad_h:1/wstride:1/hstride:1/manual_time",50003,13988.3,20767.5,ns,,1.46923e+13,,,,3,3,2,256,28,401408,28,512,2,512,28,802816,28,1,1,1,1
"LAYER_CUDNN_CONV_BWD_BIAS_HALF/W:14/H:14/C:512/N:2/K:512/filter_w(s):3/filter_h(r):3/pad_w:1/pad_h:1/wstride:1/hstride:1/manual_time",57967,12049,18931.5,ns,,8.52852e+12,,,,3,3,2,512,14,200704,14,512,2,512,14,200704,14,1,1,1,1
