Run on (160 X 4023 MHz CPU s)
2018-08-08 15:04:02
name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message,"activation_mode","advised_convolution_algorithm","advised_determinism","advised_memory","advised_time","convolution_algorithm","filter_height","filter_width","input_batch_size","input_channels","input_height","input_size","input_width","math_type","num_filters","output_batch_size","output_channels","output_height","output_size","output_width","pad_height","pad_width","stride_height","stride_width","workspace_bytes","workspace_megabytes"
"LAYER_CUDNN_CONV_BIAS_ACTIVATION_FWD_HALF<CUDNN_CONVOLUTION_FWD_ALGO_IMPLICIT_GEMM, CUDNN_ACTIVATION_RELU>/W:27/H:27/C:128/N:1/K:128/filter_w(s):3/filter_h(r):3/pad_w:1/pad_h:1/wstride:1/hstride:1/manual_time",2344,298671,305707,ns,,3.99903e+10,,,,1,0,1,0,0.289568,0,3,3,1,128,27,93312,27,0,128,1,128,27,93312,27,1,1,1,1,0,0
"LAYER_CUDNN_CONV_BIAS_ACTIVATION_FWD_HALF<CUDNN_CONVOLUTION_FWD_ALGO_IMPLICIT_GEMM, CUDNN_ACTIVATION_RELU>/W:14/H:14/C:128/N:1/K:256/filter_w(s):3/filter_h(r):3/pad_w:1/pad_h:1/wstride:1/hstride:1/manual_time",2376,294782,301829,ns,,2.17874e+10,,,,1,0,1,0,0.290144,0,3,3,1,128,14,25088,14,0,256,1,256,14,50176,14,1,1,1,1,0,0
"LAYER_CUDNN_CONV_BIAS_ACTIVATION_FWD_HALF<CUDNN_CONVOLUTION_FWD_ALGO_IMPLICIT_GEMM, CUDNN_ACTIVATION_RELU>/W:7/H:7/C:256/N:1/K:512/filter_w(s):3/filter_h(r):3/pad_w:1/pad_h:1/wstride:1/hstride:1/manual_time",1346,519587,526661,ns,,1.23608e+10,,,,1,0,1,0,0.518656,0,3,3,1,256,7,12544,7,0,512,1,512,7,25088,7,1,1,1,1,0,0
"LAYER_CUDNN_CONV_BIAS_ACTIVATION_FWD_HALF<CUDNN_CONVOLUTION_FWD_ALGO_IMPLICIT_GEMM, CUDNN_ACTIVATION_RELU>/W:224/H:224/C:3/N:1/K:64/filter_w(s):3/filter_h(r):3/pad_w:1/pad_h:1/wstride:1/hstride:1/manual_time",3610,193905,200928,ns,,4.9683e+10,,,,1,1,1,0,0.107136,0,3,3,1,3,224,150528,224,0,64,1,64,224,3.21126e+06,224,1,1,1,1,0,0
"LAYER_CUDNN_CONV_BIAS_ACTIVATION_FWD_HALF<CUDNN_CONVOLUTION_FWD_ALGO_IMPLICIT_GEMM, CUDNN_ACTIVATION_RELU>/W:112/H:112/C:64/N:1/K:128/filter_w(s):3/filter_h(r):3/pad_w:1/pad_h:1/wstride:1/hstride:1/manual_time",2396,292170,299217,ns,,3.51714e+11,,,,1,1,1,0,0.248416,0,3,3,1,64,112,802816,112,0,128,1,128,112,1.60563e+06,112,1,1,1,1,0,0
"LAYER_CUDNN_CONV_BIAS_ACTIVATION_FWD_HALF<CUDNN_CONVOLUTION_FWD_ALGO_IMPLICIT_GEMM, CUDNN_ACTIVATION_RELU>/W:56/H:56/C:128/N:1/K:256/filter_w(s):3/filter_h(r):3/pad_w:1/pad_h:1/wstride:1/hstride:1/manual_time",2078,336894,343955,ns,,3.05023e+11,,,,1,1,1,0,0.283584,0,3,3,1,128,56,401408,56,0,256,1,256,56,802816,56,1,1,1,1,0,0
"LAYER_CUDNN_CONV_BIAS_ACTIVATION_FWD_HALF<CUDNN_CONVOLUTION_FWD_ALGO_IMPLICIT_GEMM, CUDNN_ACTIVATION_RELU>/W:28/H:28/C:256/N:1/K:512/filter_w(s):3/filter_h(r):3/pad_w:1/pad_h:1/wstride:1/hstride:1/manual_time",1193,586589,593674,ns,,1.75183e+11,,,,1,1,1,0,0.534528,0,3,3,1,256,28,200704,28,0,512,1,512,28,401408,28,1,1,1,1,0,0
"LAYER_CUDNN_CONV_BIAS_ACTIVATION_FWD_HALF<CUDNN_CONVOLUTION_FWD_ALGO_IMPLICIT_GEMM, CUDNN_ACTIVATION_RELU>/W:14/H:14/C:512/N:1/K:512/filter_w(s):3/filter_h(r):3/pad_w:1/pad_h:1/wstride:1/hstride:1/manual_time",617,1.13387e+06,1.14096e+06,ns,,4.53141e+10,,,,1,0,1,0,1.12448,0,3,3,1,512,14,100352,14,0,512,1,512,14,100352,14,1,1,1,1,0,0
"LAYER_CUDNN_CONV_BIAS_ACTIVATION_FWD_HALF<CUDNN_CONVOLUTION_FWD_ALGO_IMPLICIT_GEMM, CUDNN_ACTIVATION_RELU>/W:7/H:7/C:512/N:1/K:512/filter_w(s):3/filter_h(r):3/pad_w:1/pad_h:1/wstride:1/hstride:1/manual_time",631,1.1097e+06,1.11679e+06,ns,,1.15752e+10,,,,1,0,1,0,1.10717,0,3,3,1,512,7,25088,7,0,512,1,512,7,25088,7,1,1,1,1,0,0
"LAYER_CUDNN_CONV_BIAS_ACTIVATION_FWD_HALF<CUDNN_CONVOLUTION_FWD_ALGO_IMPLICIT_GEMM, CUDNN_ACTIVATION_RELU>/W:224/H:224/C:3/N:2/K:64/filter_w(s):3/filter_h(r):3/pad_w:1/pad_h:1/wstride:1/hstride:1/manual_time",2061,339715,346773,ns,,5.67169e+10,,,,1,1,1,0,0.170688,0,3,3,2,3,224,301056,224,0,64,2,64,224,6.42253e+06,224,1,1,1,1,0,0
"LAYER_CUDNN_CONV_BIAS_ACTIVATION_FWD_HALF<CUDNN_CONVOLUTION_FWD_ALGO_IMPLICIT_GEMM, CUDNN_ACTIVATION_RELU>/W:112/H:112/C:64/N:2/K:128/filter_w(s):3/filter_h(r):3/pad_w:1/pad_h:1/wstride:1/hstride:1/manual_time",1213,579103,586170,ns,,3.54895e+11,,,,1,1,1,0,0.635648,0,3,3,2,64,112,1.60563e+06,112,0,128,2,128,112,3.21126e+06,112,1,1,1,1,0,0
